,QRS_corr_normalized_0,QRS_corr_normalized_1,QRS_corr_normalized_2,QRS_corr_normalized_3
annualized_return,0.09537979655789217,0.10357706196511172,0.10248837973105211,0.10205548277118925
sharpe_ratio,0.5735321665676161,0.6222070287359942,0.6083749812459565,0.5903948838102798
max_drawdown,0.48320213843854065,0.48344101718717236,0.48344101718717236,0.48344101718717236
trading_times,79,81,82,82
win_ratio,0.5384615384615384,0.525,0.524390243902439,0.4878048780487805
mean_win_loss_ratio,1.8394571823295476,2.015862300825426,1.9113925747913714,2.177416573601346
