,QSR_no_corr
annualized_return,0.06092452305945446
sharpe_ratio,0.3653233881835961
max_drawdown,0.5319999399948169
trading_times,81
win_ratio,0.5061728395061729
mean_win_loss_ratio,1.5642529327095265
