,QRS_corr_no_normalized_0,QRS_corr_no_normalized_1,QRS_corr_no_normalized_2,QRS_corr_no_normalized_3
annualized_return,0.09537979655789217,0.09088928331035924,0.08771738333410996,0.09530229416490253
sharpe_ratio,0.5735321665676161,0.5444635799990414,0.5248851655708645,0.547936272713255
max_drawdown,0.48320213843854065,0.48320213843854065,0.48320213843854065,0.482527165354112
trading_times,79,76,76,70
win_ratio,0.5384615384615384,0.5466666666666666,0.5333333333333333,0.5507246376811594
mean_win_loss_ratio,1.8394571823295476,1.7156982956217937,1.7946834918097503,1.799256761834028
